ECG,EMG,foot GSR,hand GSR,HR,RESP
0.103,-0.016,2.363,10.683,76.0,10.558
0.117,-0.015,2.363,10.678,76.0,10.534
0.098,-0.017,2.367,10.676,76.0,10.51
0.089,-0.0205,2.369,10.67,76.0,10.49
0.065,-0.0192,2.369,10.663,76.0,10.47
0.032,-0.0093,2.372,10.658,76.0,10.456
0.068,0.0,2.373,10.655,76.0,10.432
-0.431,0.001,2.375,10.648,76.0,10.41
0.102,0.0035,2.377,10.643,76.0,10.394
0.116,0.0046,2.374,10.638,76.0,10.388
0.084,0.0048,2.374,10.635,76.0,10.392
0.043,-0.0135,2.372,10.631,76.0,10.436
0.065,-0.014,2.372,10.628,80.0,10.436
0.064,-0.0098,2.372,10.618,80.0,10.436
0.042,-0.0117,2.372,10.616,80.0,10.436
0.025,-0.0087,2.373,10.611,80.0,10.438
0.038,-0.0035,2.374,10.606,80.0,10.444
-0.459,-0.0006,2.374,10.601,80.0,10.446
0.11,-0.0023,2.372,10.596,80.0,10.454
0.137,-0.0014,2.369,10.594,80.0,10.46
0.14,0.0014,2.368,10.59,80.0,10.468
0.063,-0.0105,2.365,10.586,80.0,10.47
0.076,-0.01,2.364,10.583,80.0,10.458
0.073,-0.0087,2.363,10.58,80.0,10.428
0.069,-0.0025,2.362,10.576,80.0,10.41
0.071,-0.0119,2.362,10.574,80.0,10.414
0.075,-0.0102,2.365,10.57,80.0,10.446
0.063,-0.0094,2.37,10.57,80.0,10.502
0.108,0.001,2.372,10.569,80.0,10.558
-0.408,-0.0041,2.37,10.569,80.0,10.602
0.143,-0.0034,2.369,10.573,56.0,10.614
0.156,-0.0013,2.37,10.576,56.0,10.604
0.109,-0.0023,2.372,10.58,56.0,10.566
0.084,-0.0093,2.373,10.587,56.0,10.524
0.087,-0.0056,2.374,10.595,56.0,10.478
0.094,-0.0008,2.377,10.604,56.0,10.446
0.093,-0.0032,2.377,10.614,56.0,10.438
0.111,0.0019,2.378,10.624,56.0,10.456
0.115,-0.0054,2.379,10.634,56.0,10.49
0.091,-0.0082,2.382,10.647,56.0,10.502
0.107,-0.0061,2.384,10.658,56.0,10.476
-0.339,-0.0099,2.387,10.668,56.0,10.414
0.101,-0.0036,2.389,10.678,77.0,10.346
0.106,0.004,2.391,10.687,77.0,10.294
0.035,-0.0023,2.395,10.704,77.0,10.282
0.013,-0.0107,2.397,10.713,77.0,10.29
0.005,-0.0141,2.4,10.719,77.0,10.302
0.0,-0.0072,2.401,10.725,77.0,10.302
0.003,0.0028,2.402,10.73,77.0,10.294
-0.002,0.0006,2.405,10.733,77.0,10.284
-0.005,-0.0056,2.406,10.734,77.0,10.28
-0.446,-0.0043,2.407,10.738,77.0,10.302
0.046,-0.001,2.41,10.739,77.0,10.33
0.066,0.0,2.411,10.74,77.0,10.36
0.065,0.0033,2.414,10.739,77.0,10.388
-0.008,-0.0069,2.414,10.739,106.0,10.414
0.002,-0.0116,2.414,10.739,106.0,10.426
0.003,-0.0027,2.414,10.739,106.0,10.458
-0.004,-0.0058,2.416,10.737,106.0,10.49
-0.008,-0.0045,2.416,10.733,106.0,10.526
-0.011,-0.0036,2.417,10.73,106.0,10.548
-0.013,-0.0041,2.419,10.728,106.0,10.578
-0.41,-0.002,2.419,10.723,106.0,10.692
0.037,-0.0086,2.419,10.719,106.0,10.812
0.069,-0.0019,2.419,10.715,106.0,10.888
0.061,-0.0025,2.419,10.71,106.0,10.93
-0.017,-0.012,2.419,10.707,83.0,10.948
0.0,-0.0095,2.419,10.702,83.0,10.974
0.0,-0.001,2.419,10.695,83.0,10.97
-0.006,-0.0035,2.419,10.69,83.0,10.914
-0.012,-0.0016,2.417,10.683,83.0,10.92
-0.02,-0.0048,2.417,10.678,83.0,10.942
-0.025,-0.0003,2.416,10.673,83.0,10.816
-0.418,-0.0042,2.416,10.667,83.0,10.518
0.017,-0.0063,2.415,10.662,83.0,10.212
0.031,-0.0005,2.407,10.645,83.0,9.952
-0.004,-0.0092,2.398,10.641,85.0,9.83
-0.016,-0.0047,2.394,10.636,85.0,9.772
-0.02,-0.0068,2.391,10.631,85.0,9.736
-0.008,-0.0056,2.385,10.626,85.0,9.762
-0.014,-0.0043,2.383,10.621,85.0,9.818
0.021,-0.0031,2.375,10.615,85.0,9.892
-0.387,-0.0078,2.368,10.611,85.0,9.94
0.061,-0.0023,2.363,10.606,85.0,9.962
0.059,0.0,2.358,10.601,85.0,9.976
0.007,-0.0046,2.354,10.597,85.0,10.012
0.006,-0.0117,2.352,10.594,87.0,10.078
0.029,-0.0026,2.349,10.59,87.0,10.152
0.028,-0.005,2.347,10.586,87.0,10.238
0.021,-0.0077,2.345,10.581,87.0,10.344
0.013,-0.0058,2.344,10.576,87.0,10.454
0.022,-0.0033,2.344,10.57,87.0,10.534
-0.316,0.0031,2.342,10.56,87.0,10.568
0.064,0.0014,2.342,10.522,87.0,10.546
0.024,-0.0024,2.342,10.51,87.0,10.472
-0.005,-0.0125,2.342,10.508,90.0,10.366
0.025,-0.0154,2.342,10.528,90.0,10.292
0.033,0.0019,2.342,10.54,90.0,10.278
0.034,0.0167,2.344,10.54,90.0,10.302
0.026,0.0024,2.344,10.538,90.0,10.36
0.052,-0.0042,2.34,10.534,90.0,10.404
-0.369,-0.0033,2.338,10.529,90.0,10.432
0.083,0.0041,2.337,10.526,90.0,10.432
0.11,-0.0174,2.337,10.523,90.0,10.382
0.069,-0.0187,2.337,10.518,90.0,10.296
0.03,-0.0249,2.339,10.514,90.0,0.0
0.02,-0.005,2.339,10.51,90.0,0.0
0.02,-0.0125,2.339,10.508,90.0,10.16
0.023,0.0106,2.339,10.504,95.0,10.162
0.009,0.0579,2.338,10.499,95.0,10.18
0.031,-0.0546,2.337,10.497,95.0,10.2
-0.403,-0.0246,2.334,10.492,95.0,10.218
0.06,-0.0026,2.333,10.487,95.0,10.228
0.099,0.004,2.332,10.486,95.0,10.208
0.03,-0.0059,2.33,10.487,95.0,10.186
0.0,-0.0176,2.329,10.493,93.0,10.156
0.011,-0.0097,2.328,10.506,93.0,10.14
0.008,-0.0131,2.325,10.523,93.0,10.126
0.002,-0.0025,2.323,10.541,93.0,10.116
-0.013,-0.0039,2.322,10.567,93.0,10.096
-0.269,-0.0047,2.322,10.601,93.0,10.094
-0.132,-0.0115,2.317,10.734,93.0,10.102
0.005,-0.0088,2.317,10.785,93.0,10.116
0.016,-0.0099,2.317,10.835,95.0,10.118
0.061,0.0321,2.317,10.887,95.0,10.114
0.132,-0.0362,2.318,10.951,95.0,10.094
-0.012,-0.0125,2.319,11.034,95.0,10.09
-0.021,-0.0274,2.322,11.113,95.0,10.094
-0.389,-0.0004,2.325,11.181,95.0,10.09
0.111,0.0021,2.331,11.242,95.0,10.106
0.202,0.0115,2.336,11.293,95.0,10.112
0.22,0.0089,2.343,11.343,95.0,10.116
0.009,-0.0038,2.349,11.384,95.0,10.124
0.014,-0.0042,2.355,11.421,95.0,10.128
-0.034,0.0003,2.363,11.454,95.0,10.13
-0.023,0.0088,2.368,11.476,95.0,10.134
0.041,-0.0065,2.372,11.491,95.0,10.146
0.149,-0.02,2.373,11.499,95.0,10.158
-0.211,-0.0005,2.379,11.507,95.0,10.174
0.093,0.0115,2.386,11.521,95.0,10.162
0.12,0.0078,2.392,11.541,95.0,10.148
0.136,-0.0168,2.398,11.551,95.0,10.14
0.128,-0.021,2.412,11.557,95.0,10.148
0.142,-0.0117,2.418,11.557,95.0,10.158
0.171,-0.0079,2.422,11.555,95.0,10.164
0.182,-0.0042,2.43,11.552,95.0,10.172
-0.038,0.0024,2.435,11.544,95.0,10.18
0.104,-0.0096,2.442,11.537,137.0,10.19
0.258,-0.0081,2.45,11.529,137.0,10.192
0.246,-0.0067,2.456,11.519,137.0,10.212
0.185,-0.009,2.462,11.509,137.0,10.244
0.223,-0.0091,2.47,11.498,137.0,10.312
0.221,-0.0069,2.475,11.483,137.0,10.392
0.221,0.0048,2.482,11.47,137.0,10.462
0.196,-0.0117,2.488,11.454,137.0,10.528
0.171,0.0005,2.493,11.438,137.0,10.614
-0.22,-0.0022,2.497,11.421,137.0,10.704
0.186,-0.0035,2.502,11.399,137.0,10.79
0.179,0.0006,2.507,11.39,137.0,10.866
0.093,-0.0061,2.511,11.384,137.0,10.926
0.134,-0.0205,2.514,11.377,137.0,10.982
0.123,-0.0217,2.518,11.361,137.0,11.024
0.111,-0.0089,2.521,11.341,137.0,11.058
0.031,-0.0041,2.522,11.309,137.0,11.082
-0.324,-0.0078,2.522,11.295,97.0,11.104
0.108,-0.0045,2.523,11.285,97.0,11.114
0.097,-0.0133,2.521,11.26,97.0,11.108
0.032,-0.0075,2.518,11.25,97.0,11.082
0.036,-0.0113,2.517,11.194,112.0,11.066
0.038,-0.0038,2.516,11.127,112.0,11.118
0.038,0.0031,2.514,11.09,112.0,11.2
0.033,-0.005,2.512,11.076,112.0,11.268
0.023,-0.0107,2.509,11.073,112.0,11.29
-0.394,-0.005,2.506,11.076,112.0,11.288
0.049,-0.0074,2.502,11.08,112.0,11.288
0.105,0.0004,2.499,11.08,112.0,11.29
0.081,0.0004,2.497,11.078,112.0,11.29
0.048,-0.0064,2.496,11.077,112.0,11.31
0.09,-0.0081,2.493,11.071,151.0,11.336
0.077,-0.0198,2.491,11.067,151.0,11.364
0.096,-0.0059,2.488,11.066,151.0,11.356
0.115,-0.0004,2.486,11.07,151.0,11.324
0.124,-0.0081,2.484,11.076,151.0,11.254
0.139,-0.0041,2.482,11.073,151.0,11.134
-0.271,0.0065,2.481,11.067,151.0,11.008
0.187,0.0091,2.481,11.074,109.0,10.924
0.196,0.005,2.479,11.083,109.0,10.898
0.152,0.0069,2.477,11.096,109.0,10.904
0.125,-0.0137,2.475,11.116,109.0,10.946
0.139,-0.0131,2.472,11.143,109.0,11.144
0.139,-0.0018,2.471,11.183,109.0,11.142
0.133,0.0008,2.469,11.234,109.0,11.152
0.118,-0.0008,2.466,11.295,109.0,11.148
0.101,0.0,2.465,11.364,109.0,11.156
0.091,-0.0018,2.462,11.604,109.0,11.162
0.007,-0.0086,2.461,11.69,75.0,11.166
0.102,-0.0008,2.461,11.771,75.0,11.158
0.088,0.0029,2.461,11.85,75.0,11.134
0.017,-0.0042,2.462,11.923,75.0,11.108
0.042,-0.0054,2.466,11.993,75.0,11.098
0.03,-0.0106,2.47,12.054,75.0,11.104
0.019,-0.01,2.476,12.106,75.0,11.136
0.008,-0.0112,2.482,12.152,75.0,11.156
-0.004,-0.0122,2.49,12.191,75.0,11.158
-0.007,0.0015,2.5,12.223,75.0,11.132
-0.004,-0.0074,2.51,12.249,75.0,11.122
-0.025,0.0006,2.523,12.273,75.0,11.122
0.005,0.0026,2.537,12.289,75.0,11.126
-0.45,-0.004,2.552,12.3,75.0,11.13
0.056,-0.0029,2.566,12.306,75.0,11.14
0.066,0.0032,2.584,12.311,75.0,11.148
0.018,0.0085,2.6,12.315,75.0,11.148
0.038,0.0056,2.616,12.314,84.0,11.148
0.037,-0.0156,2.631,12.312,84.0,11.14
0.025,-0.0102,2.647,12.306,84.0,11.136
0.018,-0.0058,2.662,12.299,84.0,11.12
0.015,-0.0014,2.674,12.286,84.0,11.09
0.008,-0.0004,2.687,12.27,84.0,11.068
0.007,-0.0022,2.698,12.254,84.0,11.062
-0.004,-0.0118,2.708,12.236,84.0,11.058
-0.218,-0.0062,2.717,12.218,84.0,11.056
-0.168,-0.0148,2.726,12.198,84.0,11.044
0.1,-0.0086,2.732,12.177,84.0,11.036
0.116,0.0007,2.738,12.156,84.0,11.026
0.045,-0.007,2.743,12.132,84.0,11.022
0.066,-0.0101,2.75,12.11,72.0,11.012
0.076,-0.0043,2.753,12.088,72.0,10.99
0.072,-0.0061,2.754,12.065,72.0,10.956
0.066,-0.0021,2.757,12.042,72.0,10.926
0.067,-0.0057,2.757,12.022,72.0,10.892
0.07,-0.0107,2.757,12.003,72.0,10.834
0.072,-0.0027,2.755,11.986,72.0,10.772
0.077,-0.0071,2.755,11.972,72.0,10.734
-0.377,-0.0068,2.753,11.959,72.0,10.724
0.134,-0.0027,2.749,11.947,72.0,10.71
0.169,-0.0071,2.748,11.937,72.0,10.694
0.158,0.0025,2.745,11.927,72.0,10.658
0.093,-0.0061,2.738,11.907,72.0,10.598
0.129,-0.0107,2.735,11.896,72.0,10.534
0.119,-0.0025,2.732,11.885,72.0,10.504
0.111,-0.0009,2.73,11.872,72.0,10.494
0.092,0.0012,2.728,11.86,72.0,10.506
0.066,0.0036,2.727,11.847,72.0,10.524
0.042,-0.0093,2.725,11.834,72.0,10.572
-0.012,0.0049,2.725,11.822,73.0,10.656
-0.343,-0.0325,2.723,11.808,73.0,10.76
0.042,-0.0079,2.722,11.795,73.0,10.812
0.033,-0.0125,2.722,11.784,73.0,10.816
-0.016,-0.0066,2.721,11.772,73.0,10.838
-0.01,-0.0135,2.722,11.758,73.0,10.902
-0.009,-0.0094,2.72,11.746,73.0,10.99
-0.018,-0.0129,2.718,11.732,73.0,11.098
-0.045,-0.0088,2.717,11.718,73.0,11.088
0.032,-0.0119,2.717,11.705,73.0,11.056
-0.029,-0.0029,2.715,11.692,73.0,11.024
0.11,0.0007,2.712,11.678,73.0,11.0
0.629,-0.0031,2.711,11.665,73.0,11.004
-0.431,-0.0065,2.708,11.652,73.0,11.012
0.448,-0.0072,2.706,11.639,73.0,11.036
-0.072,-0.0098,2.702,11.625,73.0,11.064
-0.153,-0.0004,2.7,11.613,73.0,11.09
-0.211,-0.0067,2.696,11.6,73.0,11.118
-0.12,-0.0076,2.693,11.588,73.0,11.146
-0.012,-0.0044,2.69,11.575,73.0,11.166
0.178,-0.005,2.686,11.562,73.0,11.176
0.432,-0.0052,2.673,11.527,73.0,11.186
1.191,-0.0073,2.668,11.516,73.0,11.19
0.785,-0.0031,2.663,11.504,73.0,11.202
1.404,-0.0039,2.658,11.493,71.0,11.21
1.277,-0.004,2.654,11.482,71.0,11.218
1.187,0.0013,2.651,11.472,71.0,11.214
1.113,-0.0086,2.645,11.464,71.0,11.21
0.918,-0.0065,2.641,11.463,71.0,11.166
0.819,-0.0112,2.629,11.455,71.0,11.12
0.662,0.0018,2.624,11.456,71.0,11.098
0.616,0.0,2.62,11.456,71.0,11.09
0.58,-0.0074,2.616,11.458,71.0,11.078
0.53,-0.0088,2.611,11.46,71.0,11.076
0.147,-0.0042,2.604,11.461,71.0,11.08
0.673,-0.008,2.601,11.466,71.0,11.092
0.546,-0.008,2.595,11.476,71.0,11.12
0.472,-0.0056,2.589,11.488,71.0,11.134
0.359,-0.0105,2.586,11.503,71.0,11.12
0.344,-0.0163,2.581,11.518,71.0,11.088
0.328,-0.0109,2.578,11.533,71.0,11.036
0.328,-0.0028,2.572,11.546,71.0,10.964
0.278,-0.014,2.569,11.558,71.0,10.912
0.284,-0.0002,2.566,11.57,71.0,10.894
0.31,0.0151,2.562,11.578,71.0,10.908
0.421,0.0066,2.558,11.584,71.0,10.936
-0.138,0.0145,2.554,11.59,71.0,10.978
0.353,0.0168,2.551,11.591,71.0,11.032
0.269,0.0057,2.548,11.579,71.0,11.076
0.165,0.0153,2.544,11.554,71.0,11.086
0.136,-0.0318,2.542,11.525,71.0,11.056
0.112,-0.0086,2.539,11.498,71.0,11.014
0.089,-0.0087,2.536,11.474,71.0,11.008
0.067,-0.006,2.532,11.45,71.0,11.022
0.042,-0.0093,2.531,11.43,71.0,11.024
0.013,-0.0171,2.527,11.417,71.0,11.018
0.029,-0.0069,2.526,11.404,71.0,11.008
-0.395,-0.01,2.522,11.39,71.0,11.012
0.019,-0.0108,2.521,11.374,71.0,11.03
0.009,-0.0002,2.518,11.357,71.0,11.052
-0.05,0.0093,2.512,11.328,71.0,11.068
-0.034,-0.0108,2.512,11.317,71.0,11.074
-0.042,-0.0013,2.508,11.303,71.0,11.048
-0.072,-0.0135,2.504,11.292,71.0,11.01
-0.093,-0.0056,2.503,11.281,71.0,10.964
-0.086,-0.0027,2.501,11.271,71.0,10.956
-0.443,-0.0086,2.498,11.261,71.0,10.948
-0.045,0.0,2.497,11.251,71.0,10.93
-0.044,-0.0205,2.492,11.24,71.0,10.91
-0.131,-0.0096,2.489,11.235,71.0,10.944
-0.076,-0.0148,2.487,11.235,71.0,10.92
-0.086,-0.0156,2.484,11.231,71.0,10.902
-0.11,-0.0091,2.482,11.229,71.0,10.894
-0.094,0.0057,2.481,11.225,71.0,10.892
-0.096,0.0101,2.477,11.221,71.0,10.894
-0.586,-0.0092,2.476,11.221,71.0,10.9
-0.098,0.0008,2.472,11.216,71.0,10.908
-0.098,-0.0006,2.469,11.215,71.0,10.914
-0.098,-0.0006,2.469,11.215,71.0,10.916
-0.185,-0.0092,2.464,11.222,71.0,10.916
-0.181,-0.0088,2.461,11.226,71.0,10.916
-0.204,-0.0017,2.459,11.227,71.0,10.92
-0.217,-0.0225,2.456,11.229,71.0,10.92
-0.222,-0.0203,2.452,11.229,71.0,10.922
-0.738,0.0042,2.452,11.23,71.0,10.922
-0.191,-0.0064,2.449,11.231,71.0,10.912
-0.168,-0.0002,2.446,11.235,71.0,10.894
-0.162,-0.0004,2.445,11.24,71.0,10.866
-0.262,-0.0124,2.442,11.247,71.0,10.812
-0.256,-0.0078,2.44,11.251,71.0,10.728
-0.266,-0.0005,2.439,11.25,71.0,10.646
-0.273,-0.0027,2.436,11.246,71.0,10.604
-0.284,-0.0003,2.431,11.242,71.0,10.604
-0.284,-0.0003,2.431,11.242,71.0,10.59
-0.796,-0.0093,2.426,11.253,71.0,10.548
-0.218,0.002,2.425,11.262,71.0,10.51
-0.235,-0.002,2.424,11.276,71.0,10.49
-0.301,-0.0059,2.421,11.288,71.0,10.484
-0.273,-0.0076,2.42,11.303,71.0,10.484
-0.276,-0.0035,2.417,11.317,71.0,10.476
-0.277,-0.0104,2.416,11.33,71.0,10.484
-0.28,0.0036,2.414,11.339,71.0,10.522
-0.284,-0.0019,2.412,11.348,71.0,10.568
-0.753,-0.0108,2.411,11.354,71.0,10.614
-0.238,-0.0045,2.411,11.359,71.0,10.638
-0.199,0.0007,2.41,11.364,71.0,10.664
-0.173,-0.0144,2.409,11.367,71.0,10.67
-0.252,-0.0035,2.406,11.372,71.0,10.684
-0.237,-0.0102,2.406,11.374,71.0,10.702
-0.212,-0.0041,2.404,11.376,71.0,10.736
-0.201,0.0016,2.404,11.376,71.0,10.782
-0.203,-0.0042,2.402,11.376,71.0,10.824
-0.205,-0.0189,2.401,11.373,71.0,10.842
-0.679,-0.0132,2.401,11.368,71.0,10.836
-0.148,0.0082,2.399,11.358,71.0,10.82
-0.109,0.0015,2.399,11.35,71.0,10.78
-0.101,-0.0051,2.397,11.344,71.0,10.7
-0.145,-0.0052,2.396,11.335,71.0,10.61
-0.159,-0.0136,2.396,11.328,71.0,10.562
-0.162,-0.0043,2.395,11.32,71.0,10.57
-0.159,-0.0012,2.394,11.314,71.0,10.612
-0.159,-0.0042,2.391,11.309,71.0,10.668
-0.161,-0.009,2.391,11.305,71.0,10.712
-0.339,-0.0004,2.39,11.3,71.0,10.722
-0.256,-0.0069,2.389,11.295,71.0,10.688
-0.049,-0.0011,2.385,11.28,71.0,10.634
-0.043,-0.0101,2.384,11.276,71.0,10.568
-0.021,-0.0071,2.383,11.271,71.0,10.512
-0.015,0.0004,2.382,11.267,71.0,10.476
