ECG,EMG,foot GSR,HR,marker,RESP
-0.056,0.95825,13.829,83.0,9.23,50.47
-0.053,0.8935,13.815,83.0,9.28,50.32
-0.102,0.8805,13.799,83.0,9.23,50.15
0.219,0.839125,13.779,83.0,9.22,50.0
-0.03,0.808,13.756,83.0,9.43,49.86
0.093,0.87275,13.731,83.0,9.56,49.73
0.364,0.898625,13.703,83.0,9.49,49.61
0.051,0.88825,13.674,83.0,9.43,49.45
-0.073,0.88825,13.642,73.0,9.63,49.29
-0.061,0.91675,13.609,73.0,9.76,49.13
-0.054,0.903875,13.577,73.0,9.4,48.94
-0.061,0.9815,13.542,73.0,9.35,48.78
-0.064,1.012625,13.509,73.0,9.5,48.64
-0.039,0.999625,13.475,73.0,9.83,48.5
-0.003,0.978875,13.442,73.0,10.0,48.38
-0.091,0.94525,13.411,73.0,9.96,48.29
0.264,1.004875,13.381,73.0,9.79,48.22
-0.005,0.919375,13.353,73.0,9.67,48.11
0.091,0.8935,13.326,73.0,9.65,48.0
0.367,0.833875,13.301,73.0,9.76,47.9
0.144,0.8365,13.28,73.0,10.08,47.82
-0.049,0.903875,13.26,70.0,10.3,47.74
-0.043,0.98675,13.241,70.0,10.44,47.66
-0.039,1.028125,13.226,70.0,10.48,47.52
-0.047,1.01775,13.211,70.0,10.49,47.41
-0.05,0.9815,13.2,70.0,10.39,47.3
0.004,1.0255,13.19,70.0,10.4,47.19
-0.039,1.06175,13.18,70.0,10.41,47.12
0.095,1.041125,13.17,70.0,10.41,47.05
0.082,1.067,13.162,70.0,10.43,47.01
0.006,1.04625,13.154,70.0,10.4,46.94
0.152,1.007375,13.145,70.0,10.4,46.87
0.373,1.020375,13.137,70.0,10.72,46.81
-0.001,0.955625,13.128,70.0,10.68,46.79
-0.072,0.927125,13.118,73.0,10.57,46.78
-0.064,0.870125,13.108,73.0,10.52,46.77
-0.066,0.909,13.097,73.0,10.48,46.7
-0.075,0.9375,13.084,73.0,10.45,46.63
-0.059,0.968625,13.072,73.0,10.49,46.61
-0.013,0.97375,13.057,73.0,10.49,46.61
-0.109,0.963375,13.042,73.0,10.54,46.63
0.204,1.007375,13.027,73.0,10.68,46.66
-0.038,1.0515,13.012,73.0,10.68,46.69
0.04,1.043625,12.995,73.0,10.67,46.68
0.3,1.054,12.977,73.0,10.65,46.66
0.152,0.999625,12.959,73.0,10.62,46.65
-0.083,1.043625,12.942,75.0,10.6,46.66
-0.083,1.0515,12.925,75.0,10.61,46.69
-0.074,0.997125,12.908,75.0,10.59,46.65
-0.083,0.940125,12.893,75.0,10.6,46.63
-0.085,0.922,12.878,75.0,10.67,46.61
-0.022,0.9375,12.866,75.0,10.77,46.61
-0.113,1.0385,12.854,75.0,10.73,46.62
0.177,1.012625,12.844,75.0,10.82,46.68
-0.083,1.06175,12.836,75.0,11.13,46.74
-0.006,1.00225,12.828,75.0,11.71,46.82
0.216,1.020375,12.821,75.0,13.67,46.93
0.206,1.11875,12.816,75.0,18.14,47.1
-0.103,1.1265,12.81,75.0,24.86,47.27
-0.124,1.105875,12.804,75.0,32.89,47.38
-0.117,1.09025,12.799,75.0,41.49,47.46
-0.113,1.08775,12.795,75.0,57.08,47.59
-0.074,1.054,12.791,75.0,64.82,47.78
-0.169,1.077375,12.786,75.0,59.41,47.96
0.118,1.0515,12.784,75.0,47.58,48.1
-0.097,1.0515,12.779,75.0,38.04,48.3
0.209,1.06175,12.772,75.0,38.46,48.54
0.293,1.0385,12.766,75.0,39.68,48.75
0.073,1.144625,12.761,75.0,45.54,48.89
-0.147,1.11625,12.755,85.0,52.35,49.09
-0.147,1.064375,12.749,85.0,55.37,49.32
-0.135,1.064375,12.734,85.0,57.27,49.61
-0.078,1.144625,12.734,85.0,54.51,49.62
-0.178,1.18875,12.727,85.0,49.51,49.79
0.122,1.209375,12.72,85.0,42.11,49.98
-0.166,1.18875,12.713,85.0,31.64,50.15
-0.053,1.17575,12.705,85.0,28.13,50.21
0.17,1.178375,12.695,91.0,29.36,50.36
0.159,1.105875,12.688,91.0,35.6,50.6
-0.149,1.08,12.682,91.0,51.31,50.86
-0.159,1.033375,12.678,91.0,60.01,51.06
-0.135,1.023,12.677,91.0,60.43,51.15
-0.086,0.9945,12.679,91.0,56.11,51.22
-0.192,1.069625,12.684,91.0,49.87,51.31
0.105,1.144625,12.693,91.0,35.97,51.4
-0.127,1.111,12.707,91.0,24.45,51.54
-0.031,1.03075,12.72,91.0,18.67,51.63
0.241,1.01,12.74,94.0,16.07,51.8
0.073,1.10325,12.761,94.0,15.52,51.99
-0.159,1.064375,12.787,94.0,14.91,52.15
-0.164,1.072125,12.819,94.0,14.68,52.36
-0.117,0.9815,12.855,94.0,14.05,52.53
-0.121,1.023,12.893,94.0,13.58,52.65
-0.194,0.94525,12.94,94.0,13.54,52.86
0.12,0.95825,12.99,94.0,13.43,53.07
-0.111,0.940125,13.047,94.0,13.26,53.23
0.024,0.911625,13.109,94.0,13.11,53.41
0.303,0.85975,13.177,95.0,12.95,53.66
-0.064,0.906375,13.248,95.0,13.16,53.86
-0.174,0.9945,13.325,95.0,13.59,54.05
-0.163,1.01,13.402,95.0,13.61,54.24
-0.119,0.9815,13.48,95.0,13.42,54.45
-0.119,1.020375,13.557,95.0,13.28,54.68
-0.187,1.04625,13.631,95.0,13.34,54.93
0.138,1.10325,13.706,95.0,13.54,55.16
-0.105,1.098125,13.777,95.0,13.56,55.35
0.033,1.092875,13.843,95.0,13.54,55.57
0.318,1.085125,13.907,93.0,13.5,55.83
-0.057,1.08775,13.966,93.0,13.34,56.07
-0.172,1.033375,14.018,93.0,13.22,56.25
-0.16,1.035875,14.066,93.0,13.09,56.37
-0.144,0.9945,14.109,93.0,13.3,56.47
-0.089,0.92975,14.147,93.0,13.12,56.53
-0.167,0.968625,14.182,93.0,13.11,56.48
0.174,1.01775,14.211,93.0,13.09,56.41
-0.176,1.01525,14.233,93.0,13.06,56.27
-0.07,1.054,14.25,93.0,13.06,56.15
0.137,1.0515,14.264,87.0,13.09,56.05
0.268,1.033375,14.271,87.0,13.09,55.93
-0.124,1.043625,14.277,87.0,13.06,55.76
-0.154,1.100625,14.279,87.0,13.01,55.59
-0.137,1.098125,14.282,87.0,12.93,55.39
-0.132,1.11625,14.282,87.0,12.83,55.15
-0.128,1.0255,14.282,87.0,12.82,54.89
-0.065,1.041125,14.282,87.0,12.84,54.7
-0.156,1.03075,14.283,87.0,12.84,54.49
0.182,1.03075,14.285,87.0,12.99,54.23
-0.084,1.01525,14.29,87.0,12.98,53.99
0.005,0.934875,14.295,87.0,13.0,53.76
0.276,0.953,14.301,87.0,13.09,53.52
0.192,1.035875,14.308,87.0,13.0,53.3
-0.087,1.004875,14.317,79.0,13.08,53.03
-0.086,1.085125,14.328,79.0,13.04,52.7
-0.064,0.98675,14.338,79.0,12.9,52.36
-0.067,1.033375,14.346,79.0,12.84,52.05
-0.07,1.11875,14.355,79.0,12.92,51.8
-0.049,1.129125,14.363,79.0,12.94,51.54
-0.01,1.1265,14.37,79.0,12.99,51.29
-0.086,1.041125,14.375,79.0,13.04,51.01
0.275,1.06175,14.377,79.0,13.04,50.77
0.006,1.028125,14.382,79.0,13.01,50.6
0.106,0.978875,14.384,79.0,12.94,50.45
0.388,1.023,14.385,79.0,12.87,50.3
0.159,0.947875,14.386,79.0,12.83,50.14
-0.034,0.94525,14.389,72.0,12.86,49.97
-0.031,0.98925,14.39,72.0,12.83,49.75
-0.022,0.997125,14.394,72.0,12.82,49.52
-0.034,1.020375,14.403,72.0,12.78,49.31
-0.041,1.06175,14.414,72.0,12.71,49.15
-0.025,1.035875,14.434,72.0,12.67,49.0
0.02,1.077375,14.458,72.0,12.69,48.88
-0.07,1.08775,14.489,72.0,12.65,48.77
0.268,1.11625,14.528,72.0,12.59,48.67
0.009,1.08,14.571,72.0,12.56,48.57
0.097,1.041125,14.619,72.0,12.55,48.5
0.371,1.0255,14.67,72.0,12.53,48.43
0.212,1.03075,14.724,72.0,12.51,48.32
-0.025,1.041125,14.778,72.0,12.49,48.21
-0.022,0.955625,14.831,71.0,12.48,48.07
-0.014,0.883125,14.88,71.0,12.47,47.9
-0.024,0.898625,14.927,71.0,12.44,47.76
-0.032,0.934875,14.97,71.0,12.43,47.62
0.0,0.96075,15.006,71.0,12.4,47.5
0.001,0.999625,15.038,71.0,12.39,47.41
-0.065,0.942625,15.063,71.0,12.38,47.36
0.259,0.98675,15.083,71.0,12.36,47.31
0.008,0.971125,15.094,71.0,12.33,47.25
0.119,1.035875,15.103,71.0,12.34,47.19
0.396,1.056625,15.104,71.0,12.34,47.11
0.106,1.041125,15.102,71.0,12.34,47.04
-0.046,0.98925,15.097,72.0,12.33,47.02
-0.042,0.96075,15.086,72.0,12.32,47.0
-0.04,0.971125,15.071,72.0,12.29,46.96
-0.052,0.911625,15.052,72.0,12.27,46.92
-0.055,0.890875,15.031,72.0,12.27,46.89
0.008,0.90125,15.007,72.0,12.26,46.89
-0.081,0.953,14.98,72.0,12.25,46.91
0.222,0.95825,14.952,72.0,12.25,46.93
-0.056,0.94525,14.923,72.0,12.23,46.92
0.028,0.9245,14.89,72.0,12.22,46.91
0.247,0.968625,14.857,72.0,12.22,46.91
0.277,0.9815,14.821,72.0,12.22,46.92
-0.054,0.999625,14.784,72.0,12.2,46.94
-0.071,1.004875,14.744,75.0,12.2,46.95
-0.063,1.035875,14.703,75.0,12.17,46.92
-0.073,1.01525,14.661,75.0,12.16,46.86
-0.082,0.96075,14.616,75.0,12.16,46.82
-0.031,0.971125,14.571,75.0,12.16,46.82
-0.077,0.97375,14.525,75.0,12.15,46.85
0.149,0.903875,14.475,75.0,12.15,46.87
-0.041,0.883125,14.424,75.0,12.14,46.88
-0.014,0.9245,14.373,75.0,12.11,46.86
0.144,0.934875,14.321,75.0,12.09,46.83
0.345,0.955625,14.268,75.0,12.1,46.86
-0.026,0.976375,14.213,75.0,12.12,46.88
-0.078,0.911625,14.157,75.0,12.12,46.91
-0.068,0.9945,14.1,75.0,12.11,46.89
-0.069,1.054,14.044,75.0,12.12,46.85
-0.08,1.0255,13.987,75.0,12.11,46.81
-0.049,1.054,13.932,75.0,12.1,46.81
-0.045,0.9945,13.877,75.0,12.09,46.81
-0.092,0.997125,13.823,75.0,12.09,46.81
0.189,0.9815,13.768,75.0,12.07,46.86
-0.029,0.947875,13.717,75.0,11.93,46.87
0.088,0.963375,13.665,75.0,11.9,46.85
0.356,0.890875,13.617,75.0,11.93,46.86
0.055,0.84425,13.572,75.0,11.93,46.88
-0.078,0.91425,13.528,75.0,11.94,46.88
-0.07,0.9815,13.489,75.0,11.99,46.87
-0.069,1.00225,13.452,75.0,12.17,46.82
-0.079,0.98675,13.417,75.0,12.28,46.79
-0.057,0.95825,13.386,75.0,12.29,46.79
-0.05,1.028125,13.358,75.0,12.22,46.83
-0.109,0.997125,13.333,75.0,12.2,46.82
0.182,1.077375,13.308,75.0,12.09,46.83
-0.04,1.085125,13.286,75.0,11.94,46.82
0.073,0.978875,13.267,75.0,11.9,46.81
0.34,0.978875,13.247,75.0,11.81,46.83
0.043,0.976375,13.229,75.0,11.84,46.87
-0.096,0.963375,13.21,77.0,11.81,46.88
-0.092,0.976375,13.191,77.0,11.88,46.84
-0.089,0.932375,13.174,77.0,11.85,46.83
-0.102,1.01525,13.155,77.0,11.76,46.82
-0.058,0.9815,13.137,77.0,11.75,46.82
-0.108,1.004875,13.119,77.0,11.76,46.81
0.075,1.0385,13.101,77.0,11.75,46.8
-0.056,0.9375,13.081,77.0,11.67,46.81
-0.052,1.01775,13.061,77.0,11.64,46.83
0.102,1.023,13.042,79.0,11.62,46.81
0.303,0.9945,13.024,79.0,11.6,46.81
-0.06,1.08,13.002,79.0,11.6,46.83
-0.116,1.01,12.981,79.0,11.56,46.86
-0.113,0.978875,12.962,79.0,11.56,46.85
-0.115,0.978875,12.94,79.0,11.55,46.8
-0.122,0.98675,12.92,79.0,11.55,46.77
-0.067,0.947875,12.9,79.0,11.53,46.78
-0.158,0.90125,12.861,79.0,11.53,46.77
0.124,0.821,12.857,79.0,11.51,46.78
-0.109,0.911625,12.838,79.0,11.5,46.81
-0.028,0.9815,12.82,79.0,11.5,46.81
0.206,0.963375,12.8,80.0,11.49,46.8
0.182,0.906375,12.78,80.0,11.48,46.82
-0.111,0.942625,12.76,80.0,11.48,46.83
-0.119,0.9945,12.74,80.0,11.46,46.8
-0.109,0.953,12.723,80.0,11.45,46.75
-0.12,1.0255,12.704,80.0,11.45,46.79
-0.075,0.997125,12.686,80.0,11.45,46.86
-0.131,0.966,12.668,80.0,11.44,46.93
0.095,0.953,12.652,80.0,11.43,46.97
-0.124,0.932375,12.634,80.0,11.43,47.05
-0.068,0.922,12.622,80.0,11.43,47.16
0.097,0.934875,12.611,82.0,11.43,47.33
0.281,0.875375,12.605,82.0,11.42,47.51
-0.088,0.870125,12.602,82.0,11.4,47.71
-0.14,0.9375,12.605,82.0,11.4,47.89
-0.13,0.9505,12.613,82.0,11.4,48.05
-0.115,0.978875,12.628,82.0,11.39,48.16
-0.097,0.932375,12.649,82.0,11.39,48.32
-0.195,0.94525,12.678,82.0,11.38,48.69
0.096,0.953,12.711,82.0,11.38,49.01
-0.108,0.98675,12.748,82.0,11.38,49.19
-0.006,1.01525,12.791,82.0,11.37,49.31
0.262,0.940125,12.837,88.0,11.37,49.41
0.006,0.97375,12.884,88.0,11.35,49.56
-0.162,0.8935,12.931,88.0,11.35,49.75
-0.158,0.909,12.978,88.0,11.35,49.95
-0.145,0.90125,13.024,88.0,11.35,50.06
-0.118,0.898625,13.066,88.0,11.34,50.19
-0.219,0.877875,13.106,88.0,11.34,50.38
0.071,0.911625,13.144,88.0,11.34,50.61
-0.137,0.92975,13.175,88.0,11.33,50.8
-0.041,0.932375,13.201,88.0,11.33,50.98
0.226,0.95825,13.225,93.0,11.33,51.17
0.024,0.94525,13.243,93.0,11.32,51.31
-0.182,0.984125,13.256,93.0,11.32,51.44
-0.179,0.92975,13.267,93.0,11.31,51.55
-0.144,1.043625,13.274,93.0,11.31,51.58
-0.126,1.020375,13.28,93.0,11.31,51.59
-0.228,0.97375,13.282,93.0,11.31,51.66
0.084,0.947875,13.282,93.0,11.29,51.81
-0.133,0.934875,13.28,93.0,11.29,51.91
-0.023,0.98925,13.276,93.0,11.29,51.96
0.258,0.88825,13.268,93.0,11.28,52.05
-0.024,0.87275,13.259,93.0,11.28,52.15
-0.185,0.852,13.249,93.0,11.28,52.23
-0.181,0.91425,13.24,93.0,11.28,52.36
-0.141,0.932375,13.229,93.0,11.28,52.43
-0.13,0.92975,13.214,93.0,11.28,52.47
-0.22,0.932375,13.198,93.0,11.27,52.55
-0.02,0.978875,13.18,93.0,11.27,52.64
-0.097,0.96075,13.164,93.0,11.27,52.68
0.005,1.0255,13.146,93.0,11.26,52.65
0.292,1.07475,13.124,95.0,11.26,52.58
-0.001,0.984125,13.103,95.0,11.26,52.47
-0.141,1.004875,13.061,95.0,11.26,52.26
-0.13,0.953,13.06,95.0,11.24,52.25
-0.11,0.942625,13.036,95.0,11.24,52.06
-0.057,0.934875,13.015,95.0,11.24,51.85
-0.111,0.896125,12.992,95.0,11.24,51.63
0.086,0.91425,12.969,95.0,11.23,51.39
-0.022,0.852,12.945,95.0,11.23,51.11
-0.029,0.8935,12.924,95.0,11.23,50.81
0.144,0.932375,12.9,95.0,11.23,50.52
0.351,0.865,12.88,95.0,11.23,50.26
-0.036,0.953,12.856,95.0,11.22,50.08
-0.088,0.906375,12.833,85.0,11.22,49.91
-0.076,0.940125,12.812,85.0,11.22,49.69
-0.073,0.98925,12.79,85.0,11.22,49.42
-0.08,0.978875,12.768,85.0,11.22,49.21
-0.015,0.978875,12.748,85.0,11.21,49.1
-0.105,0.909,12.725,85.0,11.21,48.99
0.244,0.87275,12.706,85.0,11.21,48.85
-0.11,0.932375,12.686,85.0,11.21,48.7
-0.005,0.883125,12.663,85.0,11.2,48.54
0.211,0.854625,12.643,85.0,11.2,48.39
0.311,0.8235,12.623,85.0,11.2,48.26
-0.054,0.875375,12.604,85.0,11.2,48.15
-0.076,0.9375,12.584,79.0,11.18,48.04
-0.065,0.92975,12.566,79.0,11.18,47.88
-0.066,0.9505,12.546,79.0,11.18,47.69
-0.074,0.92975,12.527,79.0,11.18,47.51
-0.043,1.007375,12.509,79.0,11.18,47.4
-0.032,0.976375,12.493,79.0,11.18,47.33
-0.111,1.01,12.46,79.0,11.18,47.24
0.236,0.9815,12.456,79.0,11.17,47.23
-0.025,0.968625,12.442,79.0,11.17,47.17
0.077,0.9505,12.426,79.0,11.17,47.12
0.369,0.9505,12.411,79.0,11.17,47.09
0.12,0.966,12.397,79.0,11.17,47.05
-0.066,0.88575,12.387,74.0,11.17,47.03
-0.061,0.8365,12.381,74.0,11.17,47.01
-0.052,0.883125,12.381,74.0,11.17,46.93
-0.06,0.877875,12.389,74.0,11.16,46.87
-0.065,0.909,12.406,74.0,11.16,46.83
0.0,0.942625,12.433,74.0,11.16,46.82
-0.067,0.911625,12.474,74.0,11.16,46.81
0.209,0.927125,12.526,74.0,11.16,46.83
-0.042,0.978875,12.595,74.0,11.15,46.83
0.019,1.043625,12.675,74.0,11.15,46.81
0.194,1.03075,12.768,74.0,11.15,46.81
0.384,0.934875,12.872,74.0,11.15,46.83
0.001,0.94525,12.982,74.0,11.15,46.85
-0.045,0.922,13.097,73.0,11.15,46.83
-0.04,0.968625,13.211,73.0,11.15,46.81
-0.046,0.898625,13.329,73.0,11.13,46.77
-0.061,0.870125,13.443,73.0,11.13,46.76
-0.05,0.833875,13.544,73.0,11.13,46.77
-0.018,0.8935,13.635,73.0,11.13,46.79
-0.106,0.8935,13.713,73.0,11.13,46.78
0.194,0.927125,13.786,73.0,11.13,46.78
-0.038,0.903875,13.851,73.0,11.13,46.78
0.038,0.88825,13.91,73.0,11.12,46.79
0.301,0.927125,13.96,73.0,11.12,46.81
0.184,1.01525,14.003,73.0,11.12,46.81
-0.081,1.035875,14.041,73.0,11.12,46.8
-0.084,0.997125,14.075,73.0,11.12,46.8
-0.074,0.966,14.101,73.0,11.12,46.8
-0.081,0.927125,14.125,73.0,11.12,46.75
-0.09,0.940125,14.143,73.0,11.12,46.74
-0.043,0.991875,14.157,73.0,11.12,46.77
-0.074,0.865,14.164,73.0,11.11,46.8
-0.024,0.906375,14.17,73.0,11.11,46.81
0.113,0.877875,14.17,73.0,11.11,46.81
-0.025,0.9245,14.168,73.0,11.11,46.81
0.114,0.94525,14.163,73.0,11.11,46.82
0.374,0.911625,14.154,73.0,11.1,46.82
0.023,1.028125,14.142,73.0,11.1,46.82
-0.069,0.963375,14.128,73.0,11.1,46.81
-0.059,0.966,14.111,73.0,11.1,46.8
-0.053,1.023,14.091,73.0,11.1,46.8
-0.063,1.004875,14.069,73.0,11.1,46.75
-0.055,0.98675,14.044,73.0,11.1,46.75
-0.016,0.91675,14.015,73.0,11.1,46.75
-0.103,0.934875,13.985,73.0,11.1,46.75
0.192,0.978875,13.952,73.0,11.1,46.78
-0.032,0.883125,13.916,73.0,11.09,46.78
0.044,0.867625,13.879,73.0,11.09,46.77
0.299,0.854625,13.839,73.0,11.09,46.77
0.206,0.940125,13.798,73.0,11.09,46.8
-0.063,0.9375,13.756,75.0,11.09,46.81
-0.068,0.91425,13.711,75.0,11.09,46.82
-0.06,0.890875,13.666,75.0,11.07,46.79
-0.069,0.898625,13.621,75.0,11.07,46.76
-0.067,0.934875,13.579,75.0,11.07,46.74
-0.024,0.978875,13.534,75.0,11.07,46.76
-0.115,1.012625,13.491,75.0,11.07,46.76
0.171,1.023,13.449,75.0,11.07,46.79
-0.055,0.971125,13.405,75.0,11.07,46.81
0.016,0.922,13.364,75.0,11.07,46.79
0.265,0.9375,13.324,75.0,11.07,46.78
0.208,0.90125,13.286,75.0,11.07,46.8
-0.08,0.862375,13.248,77.0,11.07,46.81
-0.089,0.833875,13.211,77.0,11.07,46.82
-0.08,0.833875,13.174,77.0,11.07,46.8
-0.089,0.90125,13.139,77.0,11.07,46.76
-0.091,0.92975,13.107,77.0,11.06,46.75
-0.043,0.90125,13.073,77.0,11.06,46.74
-0.136,0.927125,13.041,77.0,11.06,46.73
0.144,0.8935,13.008,77.0,11.06,46.76
-0.084,0.875375,12.979,77.0,11.06,46.78
-0.01,1.020375,12.946,77.0,11.05,46.77
0.232,1.023,12.916,77.0,11.05,46.77
0.185,0.997125,12.887,77.0,11.05,46.79
-0.106,0.97375,12.857,77.0,11.05,46.8
-0.111,0.896125,12.829,77.0,11.05,46.8
-0.099,0.955625,12.801,77.0,11.05,46.76
-0.106,0.9505,12.774,77.0,11.05,46.74
-0.114,0.875375,12.746,77.0,11.05,46.73
-0.053,0.867625,12.721,77.0,11.05,46.73
-0.143,0.919375,12.697,77.0,11.05,46.72
0.149,0.92975,12.672,77.0,11.05,46.74
-0.12,0.922,12.647,77.0,11.05,46.76
-0.03,0.932375,12.622,77.0,11.05,46.78
0.185,0.947875,12.599,76.0,11.05,46.79
0.232,0.911625,12.575,76.0,11.04,46.8
-0.101,0.927125,12.552,76.0,11.04,46.82
-0.117,1.007375,12.53,76.0,11.04,46.83
-0.108,0.947875,12.509,76.0,11.04,46.83
-0.115,0.947875,12.487,76.0,11.04,46.87
-0.107,0.932375,12.467,76.0,11.04,46.95
-0.077,0.942625,12.447,76.0,11.04,47.02
-0.165,0.971125,12.427,76.0,11.02,47.12
0.123,0.91425,12.41,76.0,11.02,47.24
-0.093,0.821,12.391,76.0,11.02,47.37
-0.008,0.877875,12.372,76.0,11.02,47.51
0.252,0.898625,12.355,79.0,11.02,47.65
0.094,0.947875,12.338,79.0,11.02,47.86
-0.139,0.85975,12.321,79.0,11.02,48.08
-0.145,0.95825,12.306,79.0,11.02,48.26
-0.139,0.85975,12.291,79.0,11.02,48.4
-0.127,0.97375,12.276,79.0,11.02,48.54
-0.124,0.991875,12.263,79.0,11.02,48.66
-0.204,1.048875,12.25,79.0,11.02,48.8
0.091,0.978875,12.237,79.0,11.02,48.95
-0.116,0.9505,12.224,79.0,11.02,49.1
-0.012,0.909,12.213,79.0,11.02,49.23
0.263,0.976375,12.202,85.0,11.02,49.34
0.0,0.91425,12.189,85.0,11.02,49.5
-0.161,0.906375,12.178,85.0,11.02,49.66
-0.157,0.85725,12.167,85.0,11.02,49.82
-0.149,0.906375,12.156,85.0,11.02,49.92
-0.106,0.927125,12.146,85.0,11.02,50.01
-0.176,0.9245,12.136,85.0,11.01,50.16
0.1,0.9505,12.126,85.0,11.02,50.33
-0.171,0.96075,12.113,85.0,11.01,50.46
-0.08,0.94525,12.103,85.0,11.01,50.59
0.094,1.0255,12.094,87.0,11.01,50.74
0.265,1.048875,12.084,87.0,11.01,50.88
