ECG,EMG,foot GSR,hand GSR,marker,RESP
-0.124,1.043625,14.277,21.209,13.06,55.76
-0.154,1.100625,14.279,21.228,13.01,55.59
-0.137,1.098125,14.282,21.253,12.93,55.39
-0.132,1.11625,14.282,21.28,12.83,55.15
-0.128,1.0255,14.282,21.309,12.82,54.89
-0.065,1.041125,14.282,21.338,12.84,54.7
-0.156,1.03075,14.283,21.363,12.84,54.49
0.182,1.03075,14.285,21.384,12.99,54.23
-0.084,1.01525,14.29,21.402,12.98,53.99
0.005,0.934875,14.295,21.412,13.0,53.76
0.276,0.953,14.301,21.416,13.09,53.52
0.192,1.035875,14.308,21.412,13.0,53.3
-0.087,1.004875,14.317,21.405,13.08,53.03
-0.086,1.085125,14.328,21.392,13.04,52.7
-0.064,0.98675,14.338,21.376,12.9,52.36
-0.067,1.033375,14.346,21.359,12.84,52.05
-0.07,1.11875,14.355,21.339,12.92,51.8
-0.049,1.129125,14.363,21.319,12.94,51.54
-0.01,1.1265,14.37,21.303,12.99,51.29
-0.086,1.041125,14.375,21.297,13.04,51.01
0.275,1.06175,14.377,21.303,13.04,50.77
0.006,1.028125,14.382,21.33,13.01,50.6
0.106,0.978875,14.384,21.378,12.94,50.45
0.388,1.023,14.385,21.448,12.87,50.3
0.159,0.947875,14.386,21.536,12.83,50.14
-0.034,0.94525,14.389,21.639,12.86,49.97
-0.031,0.98925,14.39,21.743,12.83,49.75
-0.022,0.997125,14.394,21.845,12.82,49.52
-0.034,1.020375,14.403,21.939,12.78,49.31
-0.041,1.06175,14.414,22.025,12.71,49.15
-0.025,1.035875,14.434,22.099,12.67,49.0
0.02,1.077375,14.458,22.16,12.69,48.88
-0.07,1.08775,14.489,22.207,12.65,48.77
0.268,1.11625,14.528,22.237,12.59,48.67
0.009,1.08,14.571,22.251,12.56,48.57
0.097,1.041125,14.619,22.256,12.55,48.5
0.371,1.0255,14.67,22.251,12.53,48.43
0.212,1.03075,14.724,22.237,12.51,48.32
-0.025,1.041125,14.778,22.214,12.49,48.21
-0.022,0.955625,14.831,22.185,12.48,48.07
-0.014,0.883125,14.88,22.147,12.47,47.9
-0.024,0.898625,14.927,22.103,12.44,47.76
-0.032,0.934875,14.97,22.055,12.43,47.62
0.0,0.96075,15.006,22.003,12.4,47.5
0.001,0.999625,15.038,21.948,12.39,47.41
-0.065,0.942625,15.063,21.888,12.38,47.36
0.259,0.98675,15.083,21.82,12.36,47.31
0.008,0.971125,15.094,21.748,12.33,47.25
0.119,1.035875,15.103,21.673,12.34,47.19
0.396,1.056625,15.104,21.596,12.34,47.11
0.106,1.041125,15.102,21.516,12.34,47.04
-0.046,0.98925,15.097,21.433,12.33,47.02
-0.042,0.96075,15.086,21.35,12.32,47.0
-0.04,0.971125,15.071,21.266,12.29,46.96
-0.052,0.911625,15.052,21.182,12.27,46.92
-0.055,0.890875,15.031,21.099,12.27,46.89
0.008,0.90125,15.007,21.018,12.26,46.89
-0.081,0.953,14.98,20.939,12.25,46.91
0.222,0.95825,14.952,20.862,12.25,46.93
-0.056,0.94525,14.923,20.787,12.23,46.92
0.028,0.9245,14.89,20.717,12.22,46.91
0.247,0.968625,14.857,20.653,12.22,46.91
0.277,0.9815,14.821,20.588,12.22,46.92
-0.054,0.999625,14.784,20.525,12.2,46.94
-0.071,1.004875,14.744,20.462,12.2,46.95
-0.063,1.035875,14.703,20.404,12.17,46.92
-0.073,1.01525,14.661,20.348,12.16,46.86
-0.082,0.96075,14.616,20.296,12.16,46.82
-0.031,0.971125,14.571,20.245,12.16,46.82
-0.077,0.97375,14.525,20.197,12.15,46.85
0.149,0.903875,14.475,20.149,12.15,46.87
-0.041,0.883125,14.424,20.107,12.14,46.88
-0.014,0.9245,14.373,20.065,12.11,46.86
0.144,0.934875,14.321,20.024,12.09,46.83
0.345,0.955625,14.268,19.987,12.1,46.86
-0.026,0.976375,14.213,19.95,12.12,46.88
-0.078,0.911625,14.157,19.917,12.12,46.91
-0.068,0.9945,14.1,19.886,12.11,46.89
-0.069,1.054,14.044,19.859,12.12,46.85
-0.08,1.0255,13.987,19.835,12.11,46.81
-0.049,1.054,13.932,19.813,12.1,46.81
-0.045,0.9945,13.877,19.794,12.09,46.81
-0.092,0.997125,13.823,19.776,12.09,46.81
0.189,0.9815,13.768,19.762,12.07,46.86
-0.029,0.947875,13.717,19.748,11.93,46.87
0.088,0.963375,13.665,19.735,11.9,46.85
0.356,0.890875,13.617,19.724,11.93,46.86
0.055,0.84425,13.572,19.713,11.93,46.88
-0.078,0.91425,13.528,19.703,11.94,46.88
-0.07,0.9815,13.489,19.693,11.99,46.87
-0.069,1.00225,13.452,19.683,12.17,46.82
-0.079,0.98675,13.417,19.672,12.28,46.79
-0.057,0.95825,13.386,19.661,12.29,46.79
-0.05,1.028125,13.358,19.65,12.22,46.83
-0.109,0.997125,13.333,19.637,12.2,46.82
0.182,1.077375,13.308,19.622,12.09,46.83
-0.04,1.085125,13.286,19.607,11.94,46.82
0.073,0.978875,13.267,19.593,11.9,46.81
0.34,0.978875,13.247,19.577,11.81,46.83
0.043,0.976375,13.229,19.56,11.84,46.87
-0.096,0.963375,13.21,19.543,11.81,46.88
-0.092,0.976375,13.191,19.525,11.88,46.84
-0.089,0.932375,13.174,19.508,11.85,46.83
-0.102,1.01525,13.155,19.491,11.76,46.82
-0.058,0.9815,13.137,19.472,11.75,46.82
-0.108,1.004875,13.119,19.455,11.76,46.81
0.075,1.0385,13.101,19.437,11.75,46.8
-0.056,0.9375,13.081,19.418,11.67,46.81
-0.052,1.01775,13.061,19.4,11.64,46.83
0.102,1.023,13.042,19.383,11.62,46.81
0.303,0.9945,13.024,19.365,11.6,46.81
-0.06,1.08,13.002,19.348,11.6,46.83
-0.116,1.01,12.981,19.331,11.56,46.86
-0.113,0.978875,12.962,19.314,11.56,46.85
-0.115,0.978875,12.94,19.299,11.55,46.8
-0.122,0.98675,12.92,19.284,11.55,46.77
-0.067,0.947875,12.9,19.272,11.53,46.78
-0.158,0.90125,12.861,19.249,11.53,46.77
0.124,0.821,12.857,19.249,11.51,46.78
-0.109,0.911625,12.838,19.242,11.5,46.81
-0.028,0.9815,12.82,19.235,11.5,46.81
0.206,0.963375,12.8,19.23,11.49,46.8
0.182,0.906375,12.78,19.229,11.48,46.82
-0.111,0.942625,12.76,19.229,11.48,46.83
-0.119,0.9945,12.74,19.232,11.46,46.8
-0.109,0.953,12.723,19.241,11.45,46.75
-0.12,1.0255,12.704,19.256,11.45,46.79
-0.075,0.997125,12.686,19.279,11.45,46.86
-0.131,0.966,12.668,19.307,11.44,46.93
0.095,0.953,12.652,19.343,11.43,46.97
-0.124,0.932375,12.634,19.384,11.43,47.05
-0.068,0.922,12.622,19.429,11.43,47.16
0.097,0.934875,12.611,19.476,11.43,47.33
0.281,0.875375,12.605,19.524,11.42,47.51
-0.088,0.870125,12.602,19.57,11.4,47.71
-0.14,0.9375,12.605,19.615,11.4,47.89
-0.13,0.9505,12.613,19.656,11.4,48.05
-0.115,0.978875,12.628,19.691,11.39,48.16
-0.097,0.932375,12.649,19.72,11.39,48.32
-0.195,0.94525,12.678,19.744,11.38,48.69
0.096,0.953,12.711,19.762,11.38,49.01
-0.108,0.98675,12.748,19.774,11.38,49.19
-0.006,1.01525,12.791,19.779,11.37,49.31
0.262,0.940125,12.837,19.78,11.37,49.41
0.006,0.97375,12.884,19.779,11.35,49.56
-0.162,0.8935,12.931,19.775,11.35,49.75
-0.158,0.909,12.978,19.765,11.35,49.95
-0.145,0.90125,13.024,19.755,11.35,50.06
-0.118,0.898625,13.066,19.742,11.34,50.19
-0.219,0.877875,13.106,19.728,11.34,50.38
0.071,0.911625,13.144,19.713,11.34,50.61
-0.137,0.92975,13.175,19.693,11.33,50.8
-0.041,0.932375,13.201,19.674,11.33,50.98
0.226,0.95825,13.225,19.654,11.33,51.17
0.024,0.94525,13.243,19.63,11.32,51.31
-0.182,0.984125,13.256,19.605,11.32,51.44
-0.179,0.92975,13.267,19.58,11.31,51.55
-0.144,1.043625,13.274,19.555,11.31,51.58
-0.126,1.020375,13.28,19.528,11.31,51.59
-0.228,0.97375,13.282,19.503,11.31,51.66
0.084,0.947875,13.282,19.476,11.29,51.81
-0.133,0.934875,13.28,19.448,11.29,51.91
-0.023,0.98925,13.276,19.424,11.29,51.96
0.258,0.88825,13.268,19.397,11.28,52.05
-0.024,0.87275,13.259,19.371,11.28,52.15
-0.185,0.852,13.249,19.348,11.28,52.23
-0.181,0.91425,13.24,19.324,11.28,52.36
-0.141,0.932375,13.229,19.303,11.28,52.43
-0.13,0.92975,13.214,19.283,11.28,52.47
-0.22,0.932375,13.198,19.266,11.27,52.55
-0.02,0.978875,13.18,19.249,11.27,52.64
-0.097,0.96075,13.164,19.236,11.27,52.68
0.005,1.0255,13.146,19.225,11.26,52.65
0.292,1.07475,13.124,19.213,11.26,52.58
-0.001,0.984125,13.103,19.206,11.26,52.47
-0.141,1.004875,13.061,19.191,11.26,52.26
-0.13,0.953,13.06,19.19,11.24,52.25
-0.11,0.942625,13.036,19.181,11.24,52.06
-0.057,0.934875,13.015,19.173,11.24,51.85
-0.111,0.896125,12.992,19.166,11.24,51.63
0.086,0.91425,12.969,19.157,11.23,51.39
-0.022,0.852,12.945,19.146,11.23,51.11
-0.029,0.8935,12.924,19.136,11.23,50.81
0.144,0.932375,12.9,19.126,11.23,50.52
0.351,0.865,12.88,19.115,11.23,50.26
-0.036,0.953,12.856,19.103,11.22,50.08
-0.088,0.906375,12.833,19.09,11.22,49.91
-0.076,0.940125,12.812,19.078,11.22,49.69
-0.073,0.98925,12.79,19.065,11.22,49.42
-0.08,0.978875,12.768,19.052,11.22,49.21
-0.015,0.978875,12.748,19.039,11.21,49.1
-0.105,0.909,12.725,19.026,11.21,48.99
0.244,0.87275,12.706,19.013,11.21,48.85
-0.11,0.932375,12.686,18.999,11.21,48.7
-0.005,0.883125,12.663,18.986,11.2,48.54
0.211,0.854625,12.643,18.971,11.2,48.39
0.311,0.8235,12.623,18.959,11.2,48.26
-0.054,0.875375,12.604,18.944,11.2,48.15
-0.076,0.9375,12.584,18.93,11.18,48.04
-0.065,0.92975,12.566,18.917,11.18,47.88
-0.066,0.9505,12.546,18.907,11.18,47.69
-0.074,0.92975,12.527,18.904,11.18,47.51
-0.043,1.007375,12.509,18.907,11.18,47.4
-0.032,0.976375,12.493,18.92,11.18,47.33
-0.111,1.01,12.46,18.987,11.18,47.24
0.236,0.9815,12.456,18.993,11.17,47.23
-0.025,0.968625,12.442,19.053,11.17,47.17
0.077,0.9505,12.426,19.134,11.17,47.12
0.369,0.9505,12.411,19.231,11.17,47.09
0.12,0.966,12.397,19.349,11.17,47.05
-0.066,0.88575,12.387,19.475,11.17,47.03
-0.061,0.8365,12.381,19.614,11.17,47.01
-0.052,0.883125,12.381,19.757,11.17,46.93
-0.06,0.877875,12.389,19.903,11.16,46.87
-0.065,0.909,12.406,20.042,11.16,46.83
0.0,0.942625,12.433,20.173,11.16,46.82
-0.067,0.911625,12.474,20.297,11.16,46.81
0.209,0.927125,12.526,20.412,11.16,46.83
-0.042,0.978875,12.595,20.51,11.15,46.83
0.019,1.043625,12.675,20.596,11.15,46.81
0.194,1.03075,12.768,20.669,11.15,46.81
0.384,0.934875,12.872,20.727,11.15,46.83
0.001,0.94525,12.982,20.775,11.15,46.85
-0.045,0.922,13.097,20.809,11.15,46.83
-0.04,0.968625,13.211,20.834,11.15,46.81
-0.046,0.898625,13.329,20.849,11.13,46.77
-0.061,0.870125,13.443,20.854,11.13,46.76
-0.05,0.833875,13.544,20.851,11.13,46.77
-0.018,0.8935,13.635,20.84,11.13,46.79
-0.106,0.8935,13.713,20.822,11.13,46.78
0.194,0.927125,13.786,20.798,11.13,46.78
-0.038,0.903875,13.851,20.768,11.13,46.78
0.038,0.88825,13.91,20.731,11.12,46.79
0.301,0.927125,13.96,20.689,11.12,46.81
0.184,1.01525,14.003,20.64,11.12,46.81
-0.081,1.035875,14.041,20.587,11.12,46.8
-0.084,0.997125,14.075,20.532,11.12,46.8
-0.074,0.966,14.101,20.474,11.12,46.8
-0.081,0.927125,14.125,20.415,11.12,46.75
-0.09,0.940125,14.143,20.356,11.12,46.74
-0.043,0.991875,14.157,20.295,11.12,46.77
-0.074,0.865,14.164,20.233,11.11,46.8
-0.024,0.906375,14.17,20.169,11.11,46.81
0.113,0.877875,14.17,20.109,11.11,46.81
-0.025,0.9245,14.168,20.049,11.11,46.81
0.114,0.94525,14.163,19.989,11.11,46.82
0.374,0.911625,14.154,19.931,11.1,46.82
0.023,1.028125,14.142,19.876,11.1,46.82
-0.069,0.963375,14.128,19.824,11.1,46.81
-0.059,0.966,14.111,19.773,11.1,46.8
-0.053,1.023,14.091,19.724,11.1,46.8
-0.063,1.004875,14.069,19.677,11.1,46.75
-0.055,0.98675,14.044,19.635,11.1,46.75
-0.016,0.91675,14.015,19.594,11.1,46.75
-0.103,0.934875,13.985,19.554,11.1,46.75
0.192,0.978875,13.952,19.518,11.1,46.78
-0.032,0.883125,13.916,19.483,11.09,46.78
0.044,0.867625,13.879,19.451,11.09,46.77
0.299,0.854625,13.839,19.42,11.09,46.77
0.206,0.940125,13.798,19.39,11.09,46.8
-0.063,0.9375,13.756,19.364,11.09,46.81
-0.068,0.91425,13.711,19.335,11.09,46.82
-0.06,0.890875,13.666,19.31,11.07,46.79
-0.069,0.898625,13.621,19.284,11.07,46.76
-0.067,0.934875,13.579,19.261,11.07,46.74
-0.024,0.978875,13.534,19.239,11.07,46.76
-0.115,1.012625,13.491,19.216,11.07,46.76
0.171,1.023,13.449,19.195,11.07,46.79
-0.055,0.971125,13.405,19.172,11.07,46.81
0.016,0.922,13.364,19.151,11.07,46.79
0.265,0.9375,13.324,19.13,11.07,46.78
0.208,0.90125,13.286,19.109,11.07,46.8
-0.08,0.862375,13.248,19.089,11.07,46.81
-0.089,0.833875,13.211,19.069,11.07,46.82
-0.08,0.833875,13.174,19.05,11.07,46.8
-0.089,0.90125,13.139,19.03,11.07,46.76
-0.091,0.92975,13.107,19.01,11.06,46.75
-0.043,0.90125,13.073,18.991,11.06,46.74
-0.136,0.927125,13.041,18.973,11.06,46.73
0.144,0.8935,13.008,18.954,11.06,46.76
-0.084,0.875375,12.979,18.936,11.06,46.78
-0.01,1.020375,12.946,18.919,11.05,46.77
0.232,1.023,12.916,18.903,11.05,46.77
0.185,0.997125,12.887,18.887,11.05,46.79
-0.106,0.97375,12.857,18.869,11.05,46.8
-0.111,0.896125,12.829,18.854,11.05,46.8
-0.099,0.955625,12.801,18.839,11.05,46.76
-0.106,0.9505,12.774,18.822,11.05,46.74
-0.114,0.875375,12.746,18.809,11.05,46.73
-0.053,0.867625,12.721,18.796,11.05,46.73
-0.143,0.919375,12.697,18.782,11.05,46.72
0.149,0.92975,12.672,18.771,11.05,46.74
-0.12,0.922,12.647,18.761,11.05,46.76
-0.03,0.932375,12.622,18.751,11.05,46.78
0.185,0.947875,12.599,18.743,11.05,46.79
0.232,0.911625,12.575,18.736,11.04,46.8
-0.101,0.927125,12.552,18.73,11.04,46.82
-0.117,1.007375,12.53,18.722,11.04,46.83
-0.108,0.947875,12.509,18.717,11.04,46.83
-0.115,0.947875,12.487,18.713,11.04,46.87
-0.107,0.932375,12.467,18.709,11.04,46.95
-0.077,0.942625,12.447,18.705,11.04,47.02
-0.165,0.971125,12.427,18.702,11.02,47.12
0.123,0.91425,12.41,18.698,11.02,47.24
-0.093,0.821,12.391,18.693,11.02,47.37
-0.008,0.877875,12.372,18.689,11.02,47.51
0.252,0.898625,12.355,18.685,11.02,47.65
0.094,0.947875,12.338,18.68,11.02,47.86
-0.139,0.85975,12.321,18.674,11.02,48.08
-0.145,0.95825,12.306,18.668,11.02,48.26
-0.139,0.85975,12.291,18.661,11.02,48.4
-0.127,0.97375,12.276,18.655,11.02,48.54
-0.124,0.991875,12.263,18.649,11.02,48.66
-0.204,1.048875,12.25,18.641,11.02,48.8
0.091,0.978875,12.237,18.634,11.02,48.95
-0.116,0.9505,12.224,18.627,11.02,49.1
-0.012,0.909,12.213,18.619,11.02,49.23
0.263,0.976375,12.202,18.609,11.02,49.34
0.0,0.91425,12.189,18.602,11.02,49.5
-0.161,0.906375,12.178,18.592,11.02,49.66
-0.157,0.85725,12.167,18.582,11.02,49.82
-0.149,0.906375,12.156,18.572,11.02,49.92
-0.106,0.927125,12.146,18.562,11.02,50.01
-0.176,0.9245,12.136,18.554,11.01,50.16
0.1,0.9505,12.126,18.544,11.02,50.33
-0.171,0.96075,12.113,18.535,11.01,50.46
-0.08,0.94525,12.103,18.525,11.01,50.59
0.094,1.0255,12.094,18.515,11.01,50.74
0.265,1.048875,12.084,18.506,11.01,50.88
