ECG,foot GSR,hand GSR,HR,marker,RESP
-0.062,19.315,8.118,70.0,13.08,34.68
-0.082,19.303,8.11,70.0,13.08,34.41
-0.089,19.292,8.108,70.0,13.08,34.14
-0.1,19.28,8.103,70.0,13.08,33.85
-0.029,19.27,8.098,70.0,13.08,33.72
-0.108,19.26,8.093,70.0,13.08,33.71
0.118,19.25,8.09,70.0,13.08,33.7
-0.094,19.241,8.085,70.0,13.08,33.76
-0.082,19.232,8.083,70.0,13.08,33.86
-0.02,19.225,8.078,70.0,13.08,34.05
0.091,19.216,8.074,67.0,13.08,34.35
0.037,19.208,8.07,67.0,13.08,34.71
-0.1,19.202,8.065,67.0,13.06,35.01
-0.092,19.195,8.063,67.0,13.06,35.34
-0.1,19.19,8.06,67.0,13.06,35.68
-0.113,19.184,8.055,67.0,13.06,35.91
-0.1,19.177,8.053,67.0,13.06,36.23
-0.041,19.172,8.049,67.0,13.06,36.55
-0.124,19.167,8.045,67.0,13.06,36.88
0.16,19.161,8.042,67.0,13.06,37.16
-0.084,19.155,8.039,67.0,13.06,37.37
-0.047,19.15,8.037,67.0,13.06,37.52
0.036,19.145,8.035,72.0,13.06,37.61
0.124,19.14,8.031,72.0,13.06,37.62
-0.013,19.134,8.028,72.0,13.06,37.65
-0.069,19.128,8.025,72.0,13.06,37.62
-0.056,19.123,8.021,72.0,13.06,37.54
-0.071,19.116,8.018,72.0,13.06,37.39
-0.079,19.11,8.016,72.0,13.06,37.23
-0.078,19.105,8.012,72.0,13.06,37.13
-0.078,19.098,8.01,72.0,13.06,36.99
-0.004,19.09,8.006,72.0,13.06,36.95
-0.068,19.084,8.002,72.0,13.06,36.86
0.151,19.078,8.0,72.0,13.06,36.74
-0.024,19.07,7.997,72.0,13.06,36.65
-0.021,19.064,7.993,72.0,13.06,36.58
0.043,19.057,7.991,72.0,13.06,36.53
0.157,19.051,7.986,72.0,13.06,36.47
0.119,19.043,7.983,72.0,13.06,36.42
-0.022,19.036,7.981,72.0,13.06,36.36
-0.017,19.029,7.977,64.0,13.06,36.3
-0.022,19.022,7.973,64.0,13.06,36.22
-0.039,19.014,7.971,64.0,13.06,36.0
-0.043,19.008,7.967,64.0,13.06,35.85
-0.045,19.002,7.965,64.0,13.06,35.65
-0.042,18.994,7.961,64.0,13.06,35.51
-0.034,18.987,7.958,64.0,13.06,35.39
0.045,18.981,7.956,64.0,13.06,35.24
-0.04,18.974,7.952,64.0,13.06,35.1
0.213,18.966,7.949,64.0,13.06,34.96
-0.016,18.959,7.946,64.0,13.06,34.84
0.019,18.952,7.944,64.0,13.06,34.7
0.098,18.945,7.941,64.0,13.06,34.62
0.217,18.939,7.936,64.0,13.06,34.56
0.117,18.931,7.934,64.0,13.06,34.5
-0.008,18.926,7.931,64.0,13.06,34.44
0.001,18.919,7.929,59.0,13.06,34.39
-0.009,18.914,7.925,59.0,13.06,34.3
-0.026,18.907,7.923,59.0,13.06,34.12
-0.031,18.901,7.92,59.0,13.06,34.09
-0.031,18.896,7.918,59.0,13.05,34.06
-0.028,18.889,7.914,59.0,13.06,34.05
-0.024,18.884,7.913,59.0,13.06,34.07
0.036,18.879,7.909,59.0,13.06,34.09
0.003,18.874,7.906,59.0,13.06,34.09
0.095,18.867,7.904,59.0,13.05,34.09
0.106,18.862,7.901,59.0,13.06,34.09
0.017,18.854,7.898,59.0,13.05,34.1
0.073,18.849,7.895,59.0,13.05,34.1
0.191,18.842,7.893,59.0,13.06,34.11
0.204,18.835,7.89,59.0,13.05,34.11
0.016,18.829,7.888,59.0,13.05,34.12
0.005,18.823,7.884,59.0,13.06,34.12
0.005,18.817,7.881,56.0,13.06,34.13
-0.009,18.81,7.879,56.0,13.06,34.04
-0.019,18.804,7.876,56.0,13.06,34.0
-0.021,18.798,7.874,56.0,13.06,34.02
-0.018,18.792,7.871,56.0,13.06,34.0
-0.016,18.785,7.869,56.0,13.06,34.03
0.046,18.778,7.865,56.0,13.06,34.05
0.005,18.771,7.863,56.0,13.05,34.05
0.123,18.765,7.861,56.0,13.05,34.04
0.091,18.758,7.858,56.0,13.05,34.05
0.025,18.75,7.856,56.0,13.05,34.05
0.083,18.743,7.852,56.0,13.06,34.05
0.206,18.737,7.849,56.0,13.06,34.06
0.209,18.73,7.846,56.0,13.05,34.06
0.022,18.723,7.843,56.0,13.05,34.08
0.012,18.717,7.841,56.0,13.05,34.07
0.011,18.71,7.838,58.0,13.05,34.08
-0.006,18.703,7.834,58.0,13.05,34.0
-0.017,18.698,7.832,58.0,13.06,33.98
-0.02,18.69,7.829,58.0,13.05,33.98
-0.022,18.685,7.827,58.0,13.05,33.97
-0.019,18.678,7.824,58.0,13.06,33.99
0.06,18.675,7.822,58.0,13.05,34.02
-0.025,18.668,7.818,58.0,13.05,34.0
0.22,18.665,7.816,58.0,13.05,34.0
-0.004,18.66,7.813,58.0,13.05,34.0
0.03,18.657,7.809,58.0,13.05,34.0
0.101,18.653,7.807,58.0,13.05,34.0
0.23,18.65,7.804,58.0,13.05,34.0
0.14,18.647,7.801,58.0,13.05,34.03
0.002,18.643,7.798,58.0,13.05,34.03
0.007,18.64,7.796,59.0,13.05,34.06
-0.002,18.637,7.793,59.0,13.05,34.04
-0.02,18.634,7.791,59.0,13.05,33.96
-0.029,18.63,7.788,59.0,13.05,33.97
-0.033,18.628,7.784,59.0,13.05,33.95
-0.034,18.626,7.782,59.0,13.05,33.96
0.033,18.622,7.779,59.0,13.05,34.02
-0.032,18.62,7.777,59.0,13.05,34.11
0.18,18.616,7.775,59.0,13.05,34.24
-0.014,18.613,7.772,59.0,13.05,34.46
-0.014,18.608,7.769,59.0,13.05,34.71
0.044,18.603,7.766,59.0,13.05,35.02
0.161,18.601,7.764,60.0,13.05,35.33
0.129,18.594,7.757,60.0,13.05,35.7
-0.032,18.59,7.757,60.0,13.05,36.07
-0.037,18.588,7.755,60.0,13.05,36.45
-0.05,18.583,7.754,60.0,13.05,36.7
-0.052,18.578,7.751,60.0,13.05,36.93
-0.058,18.573,7.747,60.0,13.05,37.22
-0.001,18.568,7.745,60.0,13.05,37.51
-0.038,18.563,7.742,60.0,13.05,37.83
0.083,18.558,7.74,60.0,13.05,38.32
0.075,18.553,7.737,60.0,13.05,38.33
-0.022,18.548,7.735,60.0,13.05,38.58
0.035,18.543,7.731,60.0,13.05,38.79
0.152,18.538,7.736,60.0,13.05,38.92
0.148,18.534,7.746,60.0,13.05,38.99
-0.005,18.527,7.74,60.0,13.05,39.03
0.004,18.524,7.736,60.0,13.05,38.95
-0.001,18.517,7.732,60.0,13.05,38.75
-0.022,18.513,7.731,60.0,13.05,38.5
-0.02,18.51,7.731,60.0,13.05,38.27
-0.024,18.504,7.73,60.0,13.05,38.07
-0.047,18.499,7.729,60.0,13.05,37.68
0.203,18.491,7.727,60.0,13.05,37.13
-0.009,18.485,7.726,60.0,13.06,36.69
0.021,18.479,7.722,60.0,13.06,36.42
0.085,18.474,7.72,60.0,13.04,35.85
0.198,18.469,7.717,60.0,13.04,35.82
0.109,18.464,7.715,60.0,13.03,35.63
-0.026,18.459,7.712,60.0,13.04,35.43
-0.016,18.454,7.71,72.0,12.99,35.12
-0.034,18.448,7.706,72.0,13.03,34.83
-0.048,18.442,7.706,72.0,13.17,34.44
-0.048,18.434,7.706,72.0,13.2,34.11
0.038,18.425,7.706,72.0,12.99,33.92
-0.022,18.418,7.709,72.0,12.9,33.85
0.227,18.41,7.705,72.0,12.99,33.76
0.025,18.402,7.702,72.0,12.73,33.85
0.049,18.394,7.699,72.0,12.78,33.91
0.123,18.387,7.696,72.0,12.82,34.09
0.257,18.382,7.694,72.0,13.54,34.2
0.189,18.374,7.69,72.0,13.74,34.0
0.026,18.368,7.687,72.0,14.27,33.71
0.038,18.362,7.685,71.0,14.85,33.59
0.032,18.355,7.682,71.0,13.38,33.46
0.002,18.35,7.679,71.0,12.4,33.22
-0.001,18.344,7.677,71.0,12.6,33.11
0.003,18.332,7.674,71.0,25.88,33.13
0.05,18.329,7.672,71.0,47.97,33.13
-0.046,18.325,7.669,71.0,69.33,33.04
-0.02,18.317,7.668,71.0,80.14,32.96
-0.013,18.312,7.664,71.0,81.37,32.69
0.016,18.305,7.662,71.0,65.96,32.29
0.106,18.3,7.66,71.0,28.07,32.36
0.211,18.295,7.657,71.0,32.66,32.61
0.034,18.288,7.654,71.0,71.73,32.73
-0.053,18.282,7.652,71.0,83.73,32.74
-0.044,18.277,7.65,71.0,81.14,33.01
-0.064,18.273,7.648,71.0,82.68,33.24
-0.083,18.266,7.645,71.0,48.99,33.41
-0.091,18.26,7.643,71.0,24.58,33.75
-0.085,18.255,7.64,71.0,57.61,34.13
-0.034,18.25,7.638,71.0,81.52,34.53
-0.122,18.245,7.635,71.0,83.95,34.86
0.157,18.238,7.633,71.0,86.01,35.22
-0.097,18.233,7.632,71.0,68.88,35.64
-0.064,18.228,7.629,71.0,29.64,35.98
0.013,18.223,7.627,71.0,19.49,36.31
0.118,18.218,7.625,71.0,22.06,36.7
-0.018,18.213,7.623,71.0,17.84,37.06
-0.092,18.208,7.622,71.0,20.14,37.38
-0.082,18.203,7.619,71.0,18.18,37.67
-0.096,18.199,7.618,71.0,18.35,37.83
-0.105,18.195,7.617,71.0,17.98,38.0
-0.105,18.192,7.614,71.0,17.96,38.17
-0.055,18.188,7.613,71.0,18.14,38.29
-0.077,18.186,7.612,71.0,17.8,38.35
0.005,18.182,7.612,71.0,17.87,38.35
0.07,18.18,7.61,71.0,17.64,38.31
-0.068,18.177,7.609,71.0,17.67,38.3
-0.015,18.176,7.607,71.0,17.54,38.26
0.099,18.176,7.607,68.0,17.57,38.24
0.112,18.177,7.604,68.0,17.53,38.24
-0.057,18.177,7.604,68.0,17.5,38.22
-0.064,18.178,7.604,68.0,17.45,38.2
-0.059,18.18,7.603,68.0,17.39,38.16
-0.077,18.183,7.602,68.0,17.34,38.06
-0.083,18.186,7.599,68.0,17.29,38.04
-0.083,18.188,7.599,68.0,17.26,38.01
-0.081,18.192,7.599,68.0,17.24,37.97
-0.079,18.195,7.598,68.0,17.2,37.98
-0.073,18.198,7.597,68.0,17.14,37.97
0.0,18.204,7.597,68.0,17.1,37.91
-0.075,18.21,7.595,68.0,17.08,37.89
0.175,18.213,7.595,68.0,17.03,37.88
-0.015,18.215,7.593,68.0,17.01,37.86
0.057,18.218,7.592,68.0,16.98,37.86
0.178,18.222,7.592,68.0,16.96,37.86
0.082,18.224,7.59,68.0,16.93,37.89
-0.041,18.227,7.59,68.0,16.91,37.9
-0.032,18.229,7.59,55.0,16.87,37.92
-0.037,18.23,7.587,55.0,16.84,37.86
-0.054,18.232,7.587,55.0,16.82,37.77
-0.058,18.233,7.585,55.0,16.8,37.75
-0.059,18.232,7.585,55.0,16.78,37.7
-0.058,18.234,7.583,55.0,16.76,37.71
-0.054,18.234,7.582,55.0,16.74,37.69
-0.054,18.234,7.582,55.0,16.73,37.67
-0.019,18.234,7.58,55.0,16.7,37.64
-0.005,18.234,7.578,55.0,16.69,37.6
-0.006,18.233,7.577,55.0,16.67,37.58
0.184,18.232,7.575,55.0,16.65,37.56
-0.018,18.23,7.575,55.0,16.64,37.55
0.027,18.229,7.572,55.0,16.62,37.57
0.139,18.227,7.571,56.0,16.6,37.56
0.198,18.224,7.57,56.0,16.59,37.55
0.0,18.223,7.567,56.0,16.57,37.54
-0.038,18.22,7.566,56.0,16.56,37.52
-0.028,18.218,7.563,56.0,16.54,37.49
-0.046,18.217,7.562,56.0,16.53,37.35
-0.054,18.213,7.561,56.0,16.52,37.25
-0.058,18.21,7.56,56.0,16.51,37.21
-0.057,18.208,7.557,56.0,16.48,37.16
-0.055,18.204,7.556,56.0,16.48,37.16
-0.055,18.2,7.555,56.0,16.47,37.15
-0.031,18.198,7.552,56.0,16.46,37.12
0.006,18.195,7.551,56.0,16.45,37.1
-0.049,18.192,7.55,56.0,16.42,37.09
0.22,18.188,7.547,56.0,16.42,37.08
-0.02,18.186,7.546,56.0,16.41,37.08
0.017,18.181,7.545,56.0,16.4,37.08
0.117,18.177,7.542,54.0,16.38,37.1
0.215,18.173,7.54,54.0,16.37,37.1
0.025,18.168,7.537,54.0,16.37,37.12
-0.044,18.163,7.536,54.0,16.36,37.1
-0.032,18.161,7.535,54.0,16.35,37.11
-0.043,18.156,7.532,54.0,16.34,37.02
-0.056,18.151,7.531,54.0,16.32,36.93
-0.061,18.146,7.53,54.0,16.32,36.92
-0.062,18.141,7.527,54.0,16.3,36.88
-0.063,18.136,7.525,54.0,16.3,36.9
-0.063,18.131,7.523,54.0,16.29,36.89
-0.041,18.126,7.521,54.0,16.27,36.87
0.005,18.122,7.52,54.0,16.27,36.85
-0.064,18.116,7.517,54.0,16.26,36.84
0.22,18.112,7.515,54.0,16.25,36.83
-0.025,18.103,7.512,54.0,16.24,36.83
0.012,18.1,7.51,54.0,16.23,36.83
0.118,18.096,7.509,54.0,16.23,36.85
0.097,18.091,7.506,54.0,16.21,36.85
0.04,18.086,7.504,54.0,16.21,36.85
-0.042,18.081,7.503,54.0,16.2,36.83
-0.032,18.076,7.5,54.0,16.19,36.82
-0.043,18.071,7.499,54.0,16.19,36.73
-0.058,18.066,7.498,54.0,16.16,36.64
-0.062,18.061,7.495,54.0,16.16,36.63
-0.063,18.056,7.493,54.0,16.16,36.58
-0.062,18.051,7.49,54.0,16.15,36.59
-0.06,18.046,7.488,54.0,16.14,36.6
0.005,18.041,7.486,54.0,16.14,36.59
-0.048,18.036,7.484,54.0,16.13,36.57
0.182,18.031,7.483,54.0,16.12,36.57
-0.012,18.025,7.48,54.0,16.12,36.56
-0.013,18.021,7.478,54.0,16.12,36.57
0.049,18.016,7.475,54.0,16.1,36.58
0.181,18.011,7.474,54.0,16.09,36.58
0.164,18.007,7.471,54.0,16.09,36.59
-0.028,18.002,7.469,54.0,16.09,36.59
-0.032,17.997,7.466,56.0,16.08,36.59
-0.028,17.992,7.465,56.0,16.07,36.56
-0.044,17.987,7.463,56.0,16.07,36.48
-0.052,17.982,7.46,56.0,16.07,36.45
-0.053,17.977,7.459,56.0,16.05,36.42
-0.053,17.974,7.458,56.0,16.04,36.4
-0.053,17.968,7.455,56.0,16.04,36.42
0.011,17.962,7.45,56.0,16.04,36.42
-0.038,17.956,7.45,56.0,16.03,36.38
0.031,17.954,7.448,56.0,16.02,36.36
-0.015,17.949,7.446,56.0,16.02,36.35
-0.006,17.944,7.444,56.0,16.02,36.36
0.055,17.939,7.441,56.0,16.01,36.36
0.188,17.937,7.44,56.0,16.01,36.38
0.176,17.932,7.436,56.0,15.99,36.4
-0.019,17.927,7.435,56.0,15.99,36.45
-0.026,17.924,7.433,59.0,15.98,36.45
-0.022,17.92,7.431,59.0,15.98,36.45
-0.04,17.916,7.429,59.0,15.97,36.41
-0.047,17.912,7.426,59.0,15.97,36.44
-0.051,17.91,7.425,59.0,15.97,36.47
-0.048,17.905,7.423,59.0,15.97,36.5
0.024,17.902,7.421,59.0,15.96,36.55
-0.057,17.899,7.418,59.0,15.94,36.58
0.232,17.896,7.416,59.0,15.94,36.59
-0.031,17.892,7.414,59.0,15.94,36.59
0.007,17.889,7.412,59.0,15.94,36.6
0.083,17.886,7.409,59.0,15.93,36.6
0.218,17.882,7.407,59.0,15.92,36.61
0.112,17.88,7.406,59.0,15.92,36.61
-0.03,17.877,7.403,59.0,15.92,36.61
-0.025,17.874,7.402,62.0,15.92,36.6
-0.03,17.87,7.399,62.0,15.91,36.55
-0.045,17.867,7.397,62.0,15.9,36.45
-0.049,17.864,7.396,62.0,15.9,36.42
-0.051,17.86,7.393,62.0,15.9,36.36
-0.034,17.857,7.391,62.0,15.9,36.35
0.007,17.855,7.389,62.0,15.9,36.37
-0.065,17.851,7.387,62.0,15.88,36.36
0.218,17.847,7.384,62.0,15.87,36.35
-0.03,17.844,7.383,62.0,15.87,36.32
0.011,17.84,7.381,62.0,15.87,36.33
0.115,17.836,7.379,63.0,15.87,36.32
0.237,17.833,7.377,63.0,15.86,36.31
0.068,17.829,7.374,63.0,15.86,36.29
-0.012,17.825,7.373,63.0,15.85,36.26
0.005,17.822,7.372,63.0,15.85,36.3
-0.002,17.818,7.369,63.0,15.85,36.26
-0.009,17.813,7.367,63.0,15.85,36.24
-0.006,17.81,7.366,63.0,15.85,36.11
-0.005,17.805,7.363,63.0,15.83,35.91
0.0,17.803,7.361,63.0,15.82,35.78
0.073,17.798,7.359,63.0,15.82,35.54
0.022,17.794,7.357,63.0,15.82,35.24
0.23,17.79,7.354,63.0,15.82,34.99
0.051,17.788,7.353,63.0,15.82,34.78
0.046,17.783,7.351,82.0,15.81,34.56
0.109,17.78,7.348,82.0,15.81,34.36
0.249,17.775,7.346,82.0,15.8,34.27
0.243,17.772,7.344,82.0,15.8,34.15
0.041,17.768,7.343,82.0,15.8,33.99
0.033,17.764,7.341,82.0,15.8,33.89
0.032,17.76,7.338,82.0,15.8,33.86
0.017,17.755,7.337,82.0,15.79,33.64
0.01,17.753,7.336,82.0,15.79,33.53
0.006,17.749,7.333,82.0,15.79,33.5
0.006,17.745,7.331,82.0,15.77,33.44
0.025,17.741,7.33,82.0,15.77,33.45
0.072,17.737,7.329,82.0,15.77,33.47
-0.008,17.733,7.326,82.0,15.77,33.46
0.257,17.73,7.325,82.0,15.76,33.43
0.027,17.726,7.324,82.0,15.76,33.43
0.065,17.722,7.321,81.0,15.76,33.44
0.167,17.718,7.319,81.0,15.75,33.44
0.288,17.713,7.316,81.0,15.75,33.42
0.108,17.711,7.314,81.0,15.75,33.42
0.015,17.706,7.314,81.0,15.75,33.43
0.023,17.703,7.311,81.0,15.75,33.45
0.007,17.698,7.309,81.0,15.74,33.4
-0.006,17.696,7.307,81.0,15.74,33.34
-0.009,17.691,7.305,81.0,15.74,33.32
-0.011,17.688,7.302,81.0,15.73,33.31
-0.01,17.685,7.299,81.0,15.73,33.33
0.063,17.682,7.297,81.0,15.73,33.34
-0.012,17.68,7.296,81.0,15.73,33.34
0.232,17.677,7.294,81.0,15.71,33.34
0.0,17.677,7.294,81.0,15.71,33.32
0.016,17.677,7.291,81.0,15.71,33.3
0.078,17.68,7.289,81.0,15.71,33.31
0.212,17.683,7.29,83.0,15.7,33.28
0.164,17.688,7.289,83.0,15.7,33.29
-0.029,17.697,7.289,83.0,15.7,33.35
-0.036,17.706,7.289,83.0,15.7,33.44
-0.045,17.718,7.286,83.0,15.7,33.56
-0.068,17.744,7.287,83.0,15.7,33.68
-0.079,17.76,7.285,83.0,15.7,33.9
-0.072,17.77,7.286,83.0,15.7,34.1
-0.085,17.793,7.284,83.0,15.69,34.36
-0.103,17.818,7.284,83.0,15.69,34.68
0.17,17.842,7.284,83.0,15.69,34.89
-0.083,17.87,7.284,83.0,15.68,35.01
-0.048,17.898,7.285,83.0,15.69,35.26
0.028,17.926,7.286,96.0,15.68,35.63
0.159,17.955,7.287,96.0,15.68,35.63
0.071,17.987,7.29,96.0,15.66,35.73
-0.065,18.017,7.295,96.0,15.66,35.83
-0.06,18.047,7.296,96.0,15.66,35.93
-0.074,18.077,7.299,96.0,15.66,35.91
-0.091,18.108,7.301,96.0,15.66,35.82
-0.09,18.138,7.304,96.0,15.66,35.73
-0.033,18.167,7.304,96.0,15.65,35.66
-0.122,18.196,7.306,96.0,15.65,35.68
0.162,18.224,7.309,96.0,15.65,35.67
-0.095,18.251,7.311,96.0,15.65,35.58
-0.06,18.278,7.312,96.0,15.65,35.55
0.026,18.302,7.314,72.0,15.64,35.55
0.149,18.327,7.316,72.0,15.64,35.51
0.0,18.351,7.319,72.0,15.64,35.51
-0.096,18.373,7.321,72.0,15.64,35.52
-0.086,18.393,7.321,72.0,15.64,35.54
-0.098,18.413,7.324,72.0,15.64,35.47
-0.113,18.433,7.326,72.0,15.64,35.38
-0.096,18.45,7.326,72.0,15.63,35.38
-0.042,18.466,7.327,72.0,15.63,35.37
-0.13,18.484,7.329,72.0,15.63,35.37
0.157,18.497,7.331,72.0,15.63,35.38
-0.092,18.511,7.331,72.0,15.62,35.39
-0.054,18.524,7.333,72.0,15.62,35.4
0.04,18.535,7.332,72.0,15.62,35.38
0.155,18.547,7.333,72.0,15.62,35.4
-0.001,18.557,7.333,72.0,15.62,35.41
-0.082,18.564,7.336,72.0,15.62,35.41
-0.072,18.574,7.336,72.0,15.62,35.43
-0.087,18.581,7.336,72.0,15.6,35.36
-0.101,18.588,7.336,72.0,15.6,35.27
-0.104,18.593,7.338,72.0,15.6,35.2
-0.102,18.598,7.338,72.0,15.6,35.12
-0.078,18.603,7.338,72.0,15.59,35.11
-0.04,18.607,7.338,72.0,15.59,35.1
-0.106,18.61,7.338,72.0,15.59,35.07
0.161,18.612,7.338,72.0,15.59,35.04
-0.072,18.612,7.338,72.0,15.59,35.0
-0.028,18.612,7.338,72.0,15.59,34.99
0.071,18.612,7.338,62.0,15.59,34.97
0.175,18.612,7.338,62.0,15.59,34.95
-0.001,18.611,7.337,62.0,15.59,34.97
-0.069,18.608,7.336,62.0,15.58,34.94
-0.061,18.606,7.336,62.0,15.58,34.94
-0.076,18.602,7.336,62.0,15.58,34.78
-0.088,18.598,7.336,62.0,15.57,34.66
-0.088,18.593,7.336,62.0,15.57,34.59
-0.085,18.587,7.334,62.0,15.57,34.51
-0.082,18.581,7.333,62.0,15.57,34.49
-0.066,18.574,7.333,62.0,15.57,34.48
-0.005,18.568,7.333,62.0,15.57,34.44
-0.087,18.561,7.333,62.0,15.57,34.38
0.187,18.553,7.331,62.0,15.57,34.35
-0.048,18.544,7.331,62.0,15.57,34.33
-0.01,18.537,7.331,62.0,15.55,34.33
0.079,18.53,7.329,57.0,15.55,34.33
0.207,18.521,7.329,57.0,15.55,34.34
0.073,18.514,7.327,57.0,15.55,34.34
-0.038,18.506,7.326,57.0,15.54,34.32
-0.024,18.499,7.326,57.0,15.54,34.33
-0.036,18.491,7.325,57.0,15.54,34.25
-0.049,18.485,7.324,57.0,15.54,34.12
-0.052,18.479,7.324,57.0,15.54,34.09
-0.051,18.474,7.322,57.0,15.54,34.07
-0.051,18.469,7.321,57.0,15.54,34.06
-0.023,18.464,7.32,57.0,15.54,34.09
0.011,18.459,7.319,57.0,15.53,34.09
-0.047,18.456,7.319,57.0,15.53,34.08
0.2,18.453,7.317,57.0,15.53,34.06
-0.014,18.449,7.316,57.0,15.53,34.06
0.03,18.447,7.315,57.0,15.52,34.05
0.136,18.443,7.314,80.0,15.52,34.06
0.244,18.441,7.311,80.0,15.52,34.06
0.056,18.438,7.311,80.0,15.52,34.06
-0.017,18.436,7.31,80.0,15.52,34.05
-0.009,18.433,7.309,80.0,15.52,34.08
-0.023,18.431,7.307,80.0,15.52,33.97
-0.035,18.427,7.306,80.0,15.52,33.87
-0.039,18.424,7.305,80.0,15.52,33.86
-0.04,18.422,7.304,80.0,15.52,33.82
-0.038,18.419,7.302,80.0,15.52,33.83
0.023,18.416,7.301,80.0,15.52,33.83
-0.015,18.412,7.3,80.0,15.51,33.83
0.106,18.408,7.299,80.0,15.51,33.81
0.062,18.404,7.296,80.0,15.51,33.78
-0.013,18.401,7.296,80.0,15.49,33.78
0.039,18.397,7.294,80.0,15.49,33.77
0.161,18.392,7.292,80.0,15.49,33.8
0.189,18.387,7.291,80.0,15.49,33.85
